Gramine is starting. Parsing TOML manifest file, this may take some time...
-----------------------------------------------------------------------------------------------------------------------
Gramine detected the following insecure configurations:

  - loader.insecure__use_cmdline_argv = true   (forwarding command-line args from untrusted host to the app)
  - sgx.allowed_files = [ ... ]                (some files are passed through from untrusted host without verification)

Gramine will continue application execution, but this configuration must not be used in production!
-----------------------------------------------------------------------------------------------------------------------

Emulating a raw syscall instruction. This degrades performance, consider patching your application to use Gramine syscall API.
2023/01/19 22:06:30 Generating Keys...
2023/01/19 22:06:50 Encrypting File
2023/01/19 22:06:50 Decrypting file
2023/01/19 22:06:50 File Size: 20480 Encrypt: OAEP Hash: SHA256 Key Size: 8192 Loops: 100
2023/01/19 22:06:51 loop 0 : 1.319777s
2023/01/19 22:06:52 loop 1 : 1.34164s
2023/01/19 22:06:54 loop 2 : 1.321436s
2023/01/19 22:06:55 loop 3 : 1.344019s
2023/01/19 22:06:56 loop 4 : 1.344017s
2023/01/19 22:06:58 loop 5 : 1.343464s
2023/01/19 22:06:59 loop 6 : 1.319901s
2023/01/19 22:07:00 loop 7 : 1.345207s
2023/01/19 22:07:02 loop 8 : 1.34261s
2023/01/19 22:07:03 loop 9 : 1.329616s
2023/01/19 22:07:04 loop 10 : 1.344278s
2023/01/19 22:07:06 loop 11 : 1.344404s
2023/01/19 22:07:07 loop 12 : 1.340851s
2023/01/19 22:07:08 loop 13 : 1.38677s
2023/01/19 22:07:10 loop 14 : 1.342012s
2023/01/19 22:07:11 loop 15 : 1.321794s
2023/01/19 22:07:12 loop 16 : 1.34524s
2023/01/19 22:07:14 loop 17 : 1.343585s
2023/01/19 22:07:15 loop 18 : 1.322817s
2023/01/19 22:07:16 loop 19 : 1.343577s
2023/01/19 22:07:18 loop 20 : 1.342841s
2023/01/19 22:07:19 loop 21 : 1.341859s
2023/01/19 22:07:21 loop 22 : 1.345828s
2023/01/19 22:07:22 loop 23 : 1.342201s
2023/01/19 22:07:23 loop 24 : 1.342772s
2023/01/19 22:07:25 loop 25 : 1.34355s
2023/01/19 22:07:26 loop 26 : 1.340247s
2023/01/19 22:07:27 loop 27 : 1.341477s
2023/01/19 22:07:29 loop 28 : 1.327447s
2023/01/19 22:07:30 loop 29 : 1.341295s
2023/01/19 22:07:31 loop 30 : 1.342927s
2023/01/19 22:07:33 loop 31 : 1.343316s
2023/01/19 22:07:34 loop 32 : 1.322447s
2023/01/19 22:07:35 loop 33 : 1.323104s
2023/01/19 22:07:37 loop 34 : 1.347681s
2023/01/19 22:07:38 loop 35 : 1.341367s
2023/01/19 22:07:39 loop 36 : 1.343029s
2023/01/19 22:07:41 loop 37 : 1.345145s
2023/01/19 22:07:42 loop 38 : 1.342694s
2023/01/19 22:07:43 loop 39 : 1.34438s
2023/01/19 22:07:45 loop 40 : 1.329043s
2023/01/19 22:07:46 loop 41 : 1.342946s
2023/01/19 22:07:47 loop 42 : 1.342367s
2023/01/19 22:07:49 loop 43 : 1.362939s
2023/01/19 22:07:50 loop 44 : 1.344182s
2023/01/19 22:07:51 loop 45 : 1.340366s
2023/01/19 22:07:53 loop 46 : 1.34267s
2023/01/19 22:07:54 loop 47 : 1.343398s
2023/01/19 22:07:55 loop 48 : 1.339991s
2023/01/19 22:07:57 loop 49 : 1.349384s
2023/01/19 22:07:58 loop 50 : 1.320781s
2023/01/19 22:07:59 loop 51 : 1.341868s
2023/01/19 22:08:01 loop 52 : 1.34278s
2023/01/19 22:08:02 loop 53 : 1.348336s
2023/01/19 22:08:03 loop 54 : 1.36174s
2023/01/19 22:08:05 loop 55 : 1.365887s
2023/01/19 22:08:06 loop 56 : 1.342482s
2023/01/19 22:08:07 loop 57 : 1.342844s
2023/01/19 22:08:09 loop 58 : 1.341995s
2023/01/19 22:08:10 loop 59 : 1.321291s
2023/01/19 22:08:11 loop 60 : 1.320659s
2023/01/19 22:08:13 loop 61 : 1.343801s
2023/01/19 22:08:14 loop 62 : 1.352022s
2023/01/19 22:08:16 loop 63 : 1.364957s
2023/01/19 22:08:17 loop 64 : 1.34961s
2023/01/19 22:08:18 loop 65 : 1.340164s
2023/01/19 22:08:20 loop 66 : 1.344116s
2023/01/19 22:08:21 loop 67 : 1.344588s
2023/01/19 22:08:22 loop 68 : 1.347862s
2023/01/19 22:08:24 loop 69 : 1.330052s
2023/01/19 22:08:25 loop 70 : 1.350501s
2023/01/19 22:08:26 loop 71 : 1.321767s
2023/01/19 22:08:28 loop 72 : 1.347791s
2023/01/19 22:08:29 loop 73 : 1.345584s
2023/01/19 22:08:30 loop 74 : 1.362412s
2023/01/19 22:08:32 loop 75 : 1.342252s
2023/01/19 22:08:33 loop 76 : 1.32935s
2023/01/19 22:08:34 loop 77 : 1.327119s
2023/01/19 22:08:36 loop 78 : 1.325541s
2023/01/19 22:08:37 loop 79 : 1.391483s
