Gramine is starting. Parsing TOML manifest file, this may take some time...
-----------------------------------------------------------------------------------------------------------------------
Gramine detected the following insecure configurations:

  - loader.insecure__use_cmdline_argv = true   (forwarding command-line args from untrusted host to the app)
  - sgx.allowed_files = [ ... ]                (some files are passed through from untrusted host without verification)

Gramine will continue application execution, but this configuration must not be used in production!
-----------------------------------------------------------------------------------------------------------------------

Emulating a raw syscall instruction. This degrades performance, consider patching your application to use Gramine syscall API.
2023/01/19 22:02:10 Generating Keys...
2023/01/19 22:02:35 Encrypting File
2023/01/19 22:02:35 Decrypting file
2023/01/19 22:02:35 File Size: 20480 Encrypt: OAEP Hash: SHA256 Key Size: 8192 Loops: 100
2023/01/19 22:02:36 loop 0 : 1.318362s
2023/01/19 22:02:37 loop 1 : 1.33835s
2023/01/19 22:02:39 loop 2 : 1.337502s
2023/01/19 22:02:40 loop 3 : 1.31557s
2023/01/19 22:02:41 loop 4 : 1.336229s
2023/01/19 22:02:43 loop 5 : 1.343676s
2023/01/19 22:02:44 loop 6 : 1.320431s
2023/01/19 22:02:45 loop 7 : 1.340794s
2023/01/19 22:02:47 loop 8 : 1.315729s
2023/01/19 22:02:48 loop 9 : 1.315802s
2023/01/19 22:02:49 loop 10 : 1.338492s
2023/01/19 22:02:51 loop 11 : 1.337446s
2023/01/19 22:02:52 loop 12 : 1.31646s
2023/01/19 22:02:53 loop 13 : 1.315877s
2023/01/19 22:02:55 loop 14 : 1.338165s
2023/01/19 22:02:56 loop 15 : 1.318216s
2023/01/19 22:02:57 loop 16 : 1.338795s
2023/01/19 22:02:59 loop 17 : 1.338447s
2023/01/19 22:03:00 loop 18 : 1.340959s
2023/01/19 22:03:01 loop 19 : 1.337492s
2023/01/19 22:03:03 loop 20 : 1.315786s
2023/01/19 22:03:04 loop 21 : 1.348261s
2023/01/19 22:03:05 loop 22 : 1.33892s
2023/01/19 22:03:07 loop 23 : 1.336744s
2023/01/19 22:03:08 loop 24 : 1.321138s
2023/01/19 22:03:09 loop 25 : 1.338552s
2023/01/19 22:03:11 loop 26 : 1.337181s
2023/01/19 22:03:12 loop 27 : 1.336448s
2023/01/19 22:03:13 loop 28 : 1.339901s
2023/01/19 22:03:15 loop 29 : 1.340236s
2023/01/19 22:03:16 loop 30 : 1.337166s
2023/01/19 22:03:17 loop 31 : 1.336991s
2023/01/19 22:03:19 loop 32 : 1.337832s
2023/01/19 22:03:20 loop 33 : 1.33637s
2023/01/19 22:03:21 loop 34 : 1.315464s
2023/01/19 22:03:23 loop 35 : 1.338031s
2023/01/19 22:03:24 loop 36 : 1.34293s
2023/01/19 22:03:25 loop 37 : 1.315572s
2023/01/19 22:03:27 loop 38 : 1.337532s
2023/01/19 22:03:28 loop 39 : 1.316915s
2023/01/19 22:03:29 loop 40 : 1.31585s
2023/01/19 22:03:31 loop 41 : 1.335555s
2023/01/19 22:03:32 loop 42 : 1.33746s
2023/01/19 22:03:33 loop 43 : 1.338679s
2023/01/19 22:03:35 loop 44 : 1.361072s
2023/01/19 22:03:36 loop 45 : 1.330679s
2023/01/19 22:03:37 loop 46 : 1.339644s
2023/01/19 22:03:39 loop 47 : 1.337334s
2023/01/19 22:03:40 loop 48 : 1.337128s
2023/01/19 22:03:41 loop 49 : 1.338955s
2023/01/19 22:03:43 loop 50 : 1.315778s
2023/01/19 22:03:44 loop 51 : 1.316642s
2023/01/19 22:03:45 loop 52 : 1.340032s
2023/01/19 22:03:47 loop 53 : 1.339014s
2023/01/19 22:03:48 loop 54 : 1.33764s
2023/01/19 22:03:49 loop 55 : 1.341645s
2023/01/19 22:03:51 loop 56 : 1.338636s
2023/01/19 22:03:52 loop 57 : 1.336899s
2023/01/19 22:03:53 loop 58 : 1.337919s
2023/01/19 22:03:55 loop 59 : 1.338592s
2023/01/19 22:03:56 loop 60 : 1.317169s
2023/01/19 22:03:57 loop 61 : 1.337178s
2023/01/19 22:03:59 loop 62 : 1.34775s
2023/01/19 22:04:00 loop 63 : 1.337615s
2023/01/19 22:04:01 loop 64 : 1.338381s
2023/01/19 22:04:03 loop 65 : 1.337383s
2023/01/19 22:04:04 loop 66 : 1.365259s
2023/01/19 22:04:05 loop 67 : 1.336234s
2023/01/19 22:04:07 loop 68 : 1.394672s
2023/01/19 22:04:08 loop 69 : 1.409342s
2023/01/19 22:04:10 loop 70 : 1.390956s
2023/01/19 22:04:11 loop 71 : 1.408147s
2023/01/19 22:04:12 loop 72 : 1.384861s
2023/01/19 22:04:14 loop 73 : 1.41078s
2023/01/19 22:04:15 loop 74 : 1.317782s
2023/01/19 22:04:16 loop 75 : 1.323269s
2023/01/19 22:04:18 loop 76 : 1.340342s
2023/01/19 22:04:19 loop 77 : 1.33701s
2023/01/19 22:04:20 loop 78 : 1.341434s
2023/01/19 22:04:22 loop 79 : 1.315257s
